MMPP;data;piastra;lotto;operatore;ct1;ct2
Brucellosi;01/03/2019;1;B83;LZ;1093;1039
Brucellosi;01/10/2019;2;B83;LZ;1226;1256
Brucellosi;17/01/2019;3;B83;CV;1410;1475
Brucellosi;24/01/2019;4;B83;LZ;815;748
Brucellosi;31/01/2019;5;D49;CV;1722;1754
Brucellosi;02/07/2019;6;D49;LZ;1286;1278
Brucellosi;14/02/2019;7;D49;LZ;1024;1015
Brucellosi;21/02/2019;8;D49;LZ;1561;1744
Brucellosi;28/02/2019;9;D49;CV;1632;1657
Brucellosi;03/07/2019;10;D49;LZ;1378;1341
Brucellosi;14/03/2019;11;D49;CV;1642;1505
Brucellosi;14/03/2019;12;D49;CV;1671;1489
Brucellosi;19/03/2019;13;D49;LZ;1678;1717
Brucellosi;21/03/2019;14;D49;LZ;1319;1420
Brucellosi;26/03/2019;15;D49;LZ;1810;1891
Brucellosi;28/03/2019;16;D49;CV;1590;1740
Brucellosi;04/02/2019;17;D49;LZ;1765;1793
Brucellosi;04/04/2019;18;D70;LZ;1657;1653
Brucellosi;04/09/2019;19;D70;LZ;1525;1474
Brucellosi;04/11/2019;20;D70;LZ;1766;1880
Brucellosi;18/04/2019;21;D70;CV;1526;1477
Brucellosi;24/04/2019;22;D70;LZ;1521;1652
Brucellosi;30/04/2019;23;D70;DG;1510;1477
Brucellosi;30/04/2019;24;D70;LZ;2089;2168
Brucellosi;05/02/2019;25;D70;DG;1677;1691
Brucellosi;05/07/2019;26;D70;LZ;1618;1562
Brucellosi;05/09/2019;27;D70;CV;1509;1585
Brucellosi;20/05/2019;28;D70;DG;1492;1461
Brucellosi;22/05/2019;29;D70;DG;1213;1342
Brucellosi;22/05/2019;30;D70;DG;943;1168
Brucellosi;23/05/2019;31;D70;LZ;1560;1575
Brucellosi;30/05/2019;32;D70;LZ;1391;1356
Brucellosi;06/05/2019;33;D70;DG;1785;1872
Brucellosi;06/06/2019;34;D70;DG;1779;1741
Brucellosi;06/10/2019;35;D70;LZ;1231;1246
Brucellosi;18/06/2019;36;D70;LZ;1398;1359
Brucellosi;27/06/2019;37;D70;DG;1630;1630
